categories_53,count
food,87
clothing,35
tool,31
container,28
vegetable,26
sports equipment,21
arts and crafts supply,21
electronic device,19
personal hygiene item,18
hardware,17
home decor,17
scientific equipment,17
school supply,16
musical instrument,16
clothing accessory,15
office supply,15
toy,14
fruit,13
kitchen tool,13
body part,12
headwear,10
plant,9
safety equipment,9
jewelry,8
outerwear,8
protective clothing,8
part of car,8
medical equipment,8
fastener,7
home appliance,7
women's clothing,6
animal,5
footwear,5
breakfast food,5
construction equipment,5
game,5
kitchen appliance,5
lighting,4
condiment,4
garden tool,3
seafood,3
drink,2
mammal,2
dessert,2
candy,2
sea animal,2
vehicle,2
farm animal,1
weapon,1
furniture,1
